name,ele_payor_id,address,city,state,zip,phone_one,phone_two,create_by,plain_medicare,plan_medicalid,plan_campus,plan_champva,plan_group_health,plan_feca,plan_others
Aetna,60054,P.O. Box 981106,El Paso,TX,79998,8886323862,,,,,,,,,
Anthem Blue Cross,BC001,PO BOX 60007,LOS ANGELES,CA,90060,(800)322-5709,,,,,,,,,
Health Net,95567,po box 14702,lexington,KY,40512,800 5416652,8006417761,,,,,,,,
Magellan Health Services,1260,Po Box 710400,San Diego,California,92171,111-111-1111,,,,,,,,,
Managed Health Network,22771,Po Box 14621,Lexington,Kentucky,40512,111-111-1111,,,,,,,,,
United Behavior Health,87726,Po Box 30755,Salt Lake City,Utah,84130,(877)862-1158,,,,,,,,,
United Healthcare Military & Veterans,99726,Po Box 7064,Camden,South Carolina,29020,111-111-1111,,,,,,,,,
Value Options,VALOP,Po Box 1290,Latham,New York,12110,8003971630,8664778208,,,,,,,,
Cigna Behavioral Health,62308,Po Box 182223,Chattanooga,Tennessee,37422,111-111-1111,,,,,,,,,
Kaiser Permanente,94134,9333 Imperial Hwy,Downey,California,90242,800-788-0616,,,,,,,,,
Blue Shield - California,BS001,P.O. Box 272540,Chico,California,95927,111-111-1111,,,,,,,,,
Patient/Guarantor Pay,,,,,,111-111-1111,,,,,,,,,
Blue Cross Blue Shield NC,SB810,PO Box 35,Durham,NC,27702,8002144844,,,,,,,,,
Blue Cross Blue Shield TX,84980,PO Box 660044,Dallas,Texas,75266,866-882-2034,NULL,,,,,,,,
Golden Rule,37602,Golden Rule Insurance Company PO Box 31374,Salt Lake City,Utah,84131,(800) 232-5432,NULL,,,,,,,,
The Holman Group,Holman,"The Holman Group Attn: Claims, PO Box 8011",Canoga Park,California,91309,800.321.2843,NULL,,,,,,,,
UBH-M,87726,6300 Minnesota 55,Golden Valley,Minnesota,55427,(866) 427-6845,NULL,,,,,,,,
UMR,79480,UMR Claims PO Box 30541,Salt Lake City,Utah,84130,877-842-3210,877-842-32,,,,,,,,
Blue Cross Blue Shield Of Louisiana,53120,PO Box 98029,Baton Rouge,Louisiana,70898,111-111-1111,,,,,,,,,
Blue Cross and Blue Shield of Illinois,621,300 East Randolph Street,Chicago,IL,60601,(866) 514-,,,,,,,,,
Beacon_ASG,43324,"200 Princeton South Corporate Center, Suite 260",Ewing,NJ,8628,8558345654,,,,,,,,,
Optum,87726,11000 Optum Circle,Eden Prairie,MN,55344,7637326269,,,,,,,,,
Molina Healthcare of California,38333,PO Box 22612,Long Beach,CA,90801,8007454044,4254241108,,,,,,,,
LifeSynch,61104,2101 W. John Carpenter Freeway Suite 100,Irving,Texas,75063,111-111-1111,,,,,,,,,
United Health Care,87726,Po Box 30755,Salt Lake City,Utah,84130,8778621158,,,,,,,,,
US Behavioral Health Plan,87726,po box 31053,laguna hills,ca,92654,111-111-1111,,,,,,,,,
Med 3000 Title XXI,M3014,PO BOX 981648,EL PASO,TX,79998,111-111-1111,,,,,,,,,
PSYCHCARE BEACON HEALTH STRATEGIES,43324,10200 Sunset Dr,Miami,FL,33173,111-111-1111,,,,,,,,,
Best Choice,37314,PO BOX 21128,Ft Lauderale,FL,33335,9547675500,,,,,,,,,
University of Miami,university,any information,Los Angeles,California,91344,3104248280,3104248280,,,,,,,,
Florida Blue,590,PO Box 1798,Jacksonville,FL,32231,111-111-1111,,,,,,,,,
Assurant,58730,P.O. Box 91604,Lubbock,TX,79490,111-111-1111,,,,,,,,,
Anthem Blue - Medi-Cal,BC001,PO Box 60007,Los Angeles,California,90060,8003225709,,,,,,,,,
Cigna Medical Services,62308,Po Box 182223,Chattanooga,Tennessee,37422,111-111-1111,,,,,,,,,
Coventry Health Care,25133,"6720 - B Rockledge Drive, Suite 700",Bethesda,MD,20817,3015810600,,,,,,,,,
Indiana ProHealth Network,35161,8501 E 56th St,Indianapolis,Indiana,46216,3176212360,,,,,,,,,
Surburban Health Organization,35199,2780 Waterfront Pkwy E Dr #300,Indianapolis,Indiana,46214,3176925222,,,,,,,,,
LA Care - Medi-Cal,LACAR,P.O. Box 811580,Los Angeles,CA,90081,8665222736,,,,,,,,,
Premera Blue Cross,430,PO Box 327,Seattle,WA,98111,8773425258,,,,,,,,,
UnitedHealthOne,37602,7440 Woodland Dr.,Indianapolis,IN,46278,8006578205,,,,,,,,,
HMC Healthworks,75318,P.O. Box 981605,El Paso,TX,79998,8602637184,,,,,,,,,
Humana/TRICARE South Region,CH002,P.O. Box 7031,Camden,SC,29020,111-111-1111,,,,,,,,,
Molina Medi-Cal,38333,PO Box 22612,Long Beach,CA,90801,8007454044,,,,,,,,,
Tricare North - Healthnet,CH002,P.O. Box 870140,Surfside Beach,SC,29587,8778742273,,,,,,,,,
Medical Mutual of Ohio,29076,2060 E. 9th Street,Cleveland,OH,44115,8003825729,8003621279,,,,,,,,
NGS CoreSource,38225,P.O. Box 2310,Mt. Clemens,MI,48046,8005211555,5867797676,,,,,,,,
Santa Clara Family Health Plan,24077,210 E Hacienda Ave,Campbell,California,95008,4083762000,,,,,,,,,
EBMS South Peninsula Hospital,91131,PO Box 21367,Billings,MT,59104,111-111-1111,,,,,,,,,
Inland Empire Health Plan,IEHP1,PO Box 1800,Rancho Cucamonga,California,91729,888-860-1298,909-890-2000,,,,,,,,
BCBS Empire NY,803,"PO Box 3876, Church Street Station",New York,NY,10008,800-522-5566,800 552 6630,,,,,,,,
HealthPlus Blue Cross/Blue Shield,28804,P. O. Box 61010,Virginia Beach,Virginia,23466,111-111-1111,,,,,,,,,
Fidelis Care,11315,PO Box 898,Amherst,NY,14226,8883433547,,,,,,,,,
Meritain Health Plan,41124,P.O. Box 853921,Richardson,TX,75085,8009252272,,,,,,,,,
Valley Health Plans (Medi-Cal),VHP02,PO BOX 28407,SAN JOSE,CA,95159,4088854563,4087936184,,,,,,,,
"Health Care LA, IPA",MPM06,P O BOX 570590,Tarzana,CA,91357,8187020100,,,,,,,,,
El Proyecto De Barrio,MPM04,PO Box 571600,Tarzana,CA,91357,8187020100,,,,,,,,,
Facey Medical Group,95432,PO Box 9605,Mission Hills,CA,91346,8188375660,,,,,,,,,
Regal Medical Group,REGAL,PO Box 371330,Reseda,CA,91337,8183575000,,,,,,,,,
Mission Community IPA,PHM10,820 South Garfield Ave. Ste #201A,Alhambra,CA,91801,6267826202,,,,,,,,,
EHS Medical Group,SYMED,PO Box 2002,Monterey Park,CA,91754,8772574235,,,,,,,,,
Align Networks,J1716,PO Box 7928,Elk Grove Village,IL,60009,866-389-0211,,,,,,,,,
Medicare-Southern California,MR002,P.O. Box 6775,Fargo,ND,58108,8556099960,,,,,,,,,
Valley Care Select IPA,VSIPA,1901 N. Solar Dr. #265,Oxnard,CA,93036,8056043308,,,,,,,,,
Health Republic of NY,16111,2425 James Street,Syracuse,NY,13206,8889905702,,,,,,,,,
Primary Care Associates of CA,CAPMN,4909 Lakewood Blvd. Suite #201,Lakewood,CA,90712,3105359296,5626021563,,,,,,,,
MedRisk EPO,ONLINE,P.O. Box 14229,Lexington,KY,40512,8002259675,,,,,,,,,
Corvel,ONLINE,"550 Congressional BLVD, Suite 300",Carmel,IN,46032,7143858500,,,,,,,,,
Health First,95019,P.O. Box 958438,Lake Mary,Florida,32795,111-111-1111,,,,,,,,,
Global Care Medical Group IPA,MPM05,PO Box 571420,Tarzana,CA,91357,111-111-1111,,,,,,,,,
Medicaid - Florida,77027,PO BOX 7072,Tallahassee,FL,32314,8002897799,,,,,,,,,
Blue Shield of CA Promise,C1SCA,601 Potrero Grande Dr.,Monterey Park,CA,91755,111-111-1111,,,,,,,,,
UnitedHealthcare/Oxford,6111,PO Box 29130,Hot Springs,Arkansas,71903,8006661353,,,,,,,,,
Maxor Administrative Services,92805,PO Box 15050,Amarillo,Texas,79105,111-111-1111,,,,,,,,,
Geisinger Health Plan,75273,P.O. Box 8200,Danville,PA,17821,800-876-5357,,,,,,,,,
BCBS Massachusetts,BS059,PO Box 986020,Boston,Massachusetts,2298,8004518124,8002622583,,,,,,,,
Tufts Health Plan,4298,P. O. Box 9163,Watertown,Massachusetts,2471,888 880-8699 ext 4042,888-884-2404,,,,,,,,
MBHP,MCDMA,P. O. Box 55871,Boston,Massachusetts,2205,800-495-8600,,,,,,,,,
Kaiser Medi-Cal,94134,PO Box 7004,Downey,California,90242,111-111-1111,,,,,,,,,
BCBS New Jersey (Horizon),22099,PO Box 10191,Newark,New Jersey,7101,1-800-624-1110,1-888 435-4383,,,,,,,,
OptumHealth Care Solutions,41161,,,,,111-111-1111,,,,,,,,,
HealthNet-Medi-Cal,95567,PO Box 14702,Lexington,Kentucky,40512,800-541-6652,800-641-7761,,,,,,,,
Community Health Group-Medi-Cal,66170,PO Box 210100,Chula Vista,California,91921,619-498-6442,619-498-6457,,,,,,,,
AvMed,59274,PO Box 569008,Miami,Florida,33256,800-882-8633,,,,,,,,,
Concordia,33632,,,,,111-111-1111,,,,,,,,,
Anthem BCBS Colorado,50,PO Box 5747,Denver,Colorado,80217,877-833-5742,,,,,,,,,
Medicaid Louisiana/Molina,MCDLA,P.O. Box 91020,Baton Rouge,Louisiana,70821,8004732783,,,,,,,,,
Pioneer provider network,PPNZZ,"1901 North Solar Drive, Suite 105,",Oxnard,CA,93036,,,,,,,,,,
EMBLEM HEALTH,13551,P.O. Box 2827.,New York,NY,10116,111-111-1111,,,,,,,,,
BCBS- Arizona,53589,P.O. Box 2924,Phoenix,AZ,85062,111-111-1111,,,,,,,,,
Sierra Health and Life,76342,P O Box 36451,Las Vegas,NV,89133,800-650-6232,,,,,,,,,
Mental Health Network-MHNet,74289,,,,,111-111-1111,,,,,,,,,
Blue Cross Blue Shield of Georgia,601,P.O. BOX 105370,Atlanta,GA,30348,8002417475,8778687950,,,,,,,,
Blue Cross Blue Shield UT Select,84980,PO Box 660044,Dallas,TX,75266,8668822034,8668822034,,,,,,,,
Blue Cross Blue Shield of Pennsylvania (Highmark),54771,P.O. Box 898819,"Camp Hill,",PA,17089,8005473627,8005473627,,,,,,,,
The Loomis Company,23223,"850 N. Park Road, P.O. Box 7011",Wyomissing,PA,19610,6103744040,,,,,,,,,
Amerihealth,54763,259 Prospect Plains Rd,Cranbury,NJ,8512,111-111-1111,,,,,,,,,
Kaiser North Cali,94135,2829 Watt Ave. Ste 130,Sacramento,CA,95821,9164821132,,,,,,,,,
Kaiser North Cali-MediCal,94135,2829 Watt Ave. Ste 130,Sacramento,CA,95821,9164821132,,,,,,,,,
Scott & White Health Plan,88030,PO Box 21800,Eagan,MN,55121,111-111-1111,,,,,,,,,
"Axminister Medical Group, Inc.",AXM01,P.O. Box 9658,Mission Hills,CA,91346,8665754120,,,,,,,,,
United Healthcare - SRI,74227,"2301 West Plano Parkway, Suite 300",Plano,TX,75075,111-111-1111,,,,,,,,,
Regence,851,PO Box 1106,Lewiston,ID,83501,111-111-1111,,,,,,,,,
Humana PPO,61101,P.O. Box 14601,Lexington,KY,40512,111-111-1111,,,,,,,,,
HealthSCOPE Benefits,71063,P.O. Box 91603,Lubbock,TX,79490,111-111-1111,,,,,,,,,
Blue Shield of California - Blue Card,BS001,P.O.BOX 1505,Red Bluff,CA,96080,111-111-1111,,,,,,,,,
Blue Benefit Administration of MA,3036,P.O. Box 55917,Boston,MA,2205,111-111-1111,,,,,,,,,
"Beacon Health Strategies, LLC",43324,PO Box 1866,Hicksville,NY,11802,,,,,,,,,,
BCBS New Directions,590,PO Box 1798,Jacksonville,FL,32231,111-111-1111,,,,,,,,,
